"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2023","AQS","060290007","1","0.027","ppm","25","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/02/2023","AQS","060290007","1","0.032","ppm","30","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/03/2023","AQS","060290007","1","0.028","ppm","26","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/04/2023","AQS","060290007","1","0.041","ppm","38","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/05/2023","AQS","060290007","1","0.039","ppm","36","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/06/2023","AQS","060290007","1","0.04","ppm","37","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/07/2023","AQS","060290007","1","0.034","ppm","31","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/08/2023","AQS","060290007","1","0.037","ppm","34","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/09/2023","AQS","060290007","1","0.023","ppm","21","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/10/2023","AQS","060290007","1","0.042","ppm","39","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/11/2023","AQS","060290007","1","0.033","ppm","31","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/12/2023","AQS","060290007","1","0.039","ppm","36","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/13/2023","AQS","060290007","1","0.028","ppm","26","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/14/2023","AQS","060290007","1","0.029","ppm","27","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/15/2023","AQS","060290007","1","0.037","ppm","34","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/16/2023","AQS","060290007","1","0.037","ppm","34","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/17/2023","AQS","060290007","1","0.029","ppm","27","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/18/2023","AQS","060290007","1","0.026","ppm","24","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/19/2023","AQS","060290007","1","0.018","ppm","17","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/20/2023","AQS","060290007","1","0.03","ppm","28","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/21/2023","AQS","060290007","1","0.03","ppm","28","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/22/2023","AQS","060290007","1","0.029","ppm","27","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/23/2023","AQS","060290007","1","0.032","ppm","30","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/24/2023","AQS","060290007","1","0.023","ppm","21","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/25/2023","AQS","060290007","1","0.03","ppm","28","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
"01/26/2023","AQS","060290007","1","0.031","ppm","29","Edison","17","100.0000","44201","Ozone","087","12540","Bakersfield, CA","06","California","029","Kern","35.345607","-118.851825"
